UNIT_LINK,REF_ID
NYCAa;2,NY002
NYCAa;2,NY001
NYCAa;2,NY006
NYCAa;2,NY046
NYCAbk;1,NY001
NYCAbk;1,NY002
NYCAbk;1,NY037
NYCAbk;1,NY038
NYCAbk;1,NY046
NYCAbk;2,NY001
NYCAbk;2,NY002
NYCAbk;2,NY037
NYCAbk;2,NY038
NYCAbk;2,NY039
NYCAbk;2,NY040
NYCAbk;2,NY041
NYCAbk;2,NY046
NYCAc;1,NY002
NYCAc;1,NY001
NYCAc;2,NY002
NYCAc;2,NY001
NYCAc;3,NY002
NYCAc;3,NY001
NYCAcd;2,NY001
NYCAcd;2,NY002
NYCAcd;2,NY046
NYCAev;2,NY001
NYCAev;2,NY002
NYCAev;2,NY046
NYCAev;3,NY001
NYCAev;3,NY002
NYCAev;3,NY046
NYCAg;2,NY001
NYCAg;2,NY002
NYCAg;3,NY001
NYCAg;3,NY002
NYCAgt;2,NY001
NYCAgt;2,NY002
NYCAgt;2,NY006
NYCAm;1,NY001
NYCAm;1,NY002
NYCAm;1,NY046
NYCAm;2,NY002
NYCAm;2,NY001
NYCAm;2,NY046
NYCAn;2,NY001
NYCAn;2,NY002
NYCAn;2,NY005
NYCAn;2,NY046
NYCAn;3,NY002
NYCAn;3,NY001
NYCAn;3,NY005
NYCAn;3,NY046
NYCAp;1,NY001
NYCAp;1,NY002
NYCAp;1,NY038
NYCAp;1,NY046
NYCAp;2,NY002
NYCAp;2,NY001
NYCAp;2,NY038
NYCAp;2,NY046
NYCApg;3,NY001
NYCApg;3,NY002
NYCApg;3,NY042
NYCApg;3,NY046
NYCApw;1,NY002
NYCApw;1,NY001
NYCApw;2,NY002
NYCApw;2,NY001
NYCAr;2,NY002
NYCAr;2,NY001
NYCAs;3,NY002
NYCAs;3,NY001
NYCAs;3,NY008
NYCAs;3,NY046
NYCAth;2,NY001
NYCAth;2,NY002
NYCAth;2,NY046
NYCAw;2,NY002
NYCAw;2,NY001
NYCAw;2,NY007
NYCAw;2,NY046
NYCAw;3,NY001
NYCAw;3,NY002
NYCAw;3,NY007
NYCAw;3,NY046
NYCAwmd;1,NY002
NYCAwmd;1,NY001
NYCAwmd;1,NY046
NYCAwmd;2,NY001
NYCAwmd;2,NY002
NYDbg;3,NY001
NYDbg;3,NY002
NYDco;4,NY001
NYDco;4,NY002
NYDct;4,NY002
NYDct;4,NY001
NYDct;5,NY002
NYDct;5,NY001
NYDcy;4,NY002
NYDcy;4,NY001
NYDcy;5,NY001
NYDcy;5,NY002
NYDcyd;4,NY001
NYDcyd;4,NY002
NYDcyl;4,NY002
NYDcyl;4,NY001
NYDcys;4,NY001
NYDcys;4,NY002
NYDg;4,NY001
NYDg;4,NY002
NYDg;4,NY015
NYDg;4,NY046
NYDg;5,NY015
NYDg;5,NY001
NYDg;5,NY002
NYDg;5,NY046
NYDgl;2,NY002
NYDgl;2,NY001
NYDgl;3,NY001
NYDgl;3,NY002
NYDgo;2,NY002
NYDgo;2,NY001
NYDgo;2,NY021
NYDgo;2,NY046
NYDgo;3,NY001
NYDgo;3,NY002
NYDgo;3,NY021
NYDgo;3,NY046
NYDgo;5,NY001
NYDgo;5,NY002
NYDgo;5,NY021
NYDgo;5,NY046
NYDgu;2,NY001
NYDgu;2,NY002
NYDgu;2,NY021
NYDgu;2,NY046
NYDgu;5,NY001
NYDgu;5,NY002
NYDh;3,NY001
NYDh;3,NY002
NYDh;3,NY046
