STATE,ORIG_LABEL,MAP_SYM1,MAP_SYM2,UNIT_LINK,PROV_NO,PROVINCE,UNIT_NAME,UNIT_AGE,UNITDESC,STRAT_UNIT,UNIT_COM,MAP_REF,ROCKTYPE1,ROCKTYPE2,ROCKTYPE3,UNIT_REF
NY,Ca,CAa,CAa;2,NYCAa;2,2,Hudson-Mohawk Sheet,Austerlitz Phyllite,Cambrian?,Austerlitz Phyllite - minor quartzite,,part of Eugeosynclinal (Allochthonous) Sequence up to 6000 ft.? (2000 m).Age changed to Late Proterozoic as per USGS Lexicon website (ref. NY046) according to reference NY006.,NY001,phyllite,quartzite,,NY002NY006NY046
NY,Cbk,CAbk,CAbk;1,NYCAbk;1,1,Adirondack Sheet,Beekmantown Group (in part),Cambrian,"Beekmantown Group (in part) - In Champlain Valley: Whitehall Formation-dolostone, limestone (with Cryptozoon reefs); Ticonderoga Formation-dolostone (locally cherty), sandstone.  In Vermont: Clarendon Springs Dolostone; Danby Formation-sandstone, quartzite, dolostone.",,"part of Beekmantown Group, Potsdam Sandstone, and Vermont Valley Sequence up to 2500 ft. (760 m).Secondary unit descriptions from USGS Lexicon website (ref. NY046) and references NY037 and NY038. The Beekmantown Group in east-central NY includes the (ascending) Potsdam Sandstone, Ticonderoga Formation, Whitehall Formation, Great Meadows Formation, Fort Ann Formation, and Fort Cassin Formation. The Cambrian-Ordovician boundary is within the Whitehall Formation, and therefore, the Beekmantown Group is of Late Cambrian to Early Ordovician age (Croixian to Canadian). Unit overlies the Lake George Group and underlies the Black River Group (Fisher, 1984).Paleozoic cover sequence adjacent to Adirondack massif in western part of Glens Falls quad consists of (ascending): Late Cambrian Potsdam Sandstone, Late Cambrian Ticonderoga Formation, Late Cambrian and Early Ordovician Beekmantown Group (with Whitehall Formation at base), early Middle Ordovician Chazy Group, Middle Ordovician Black River and Trenton Groups, and Mohawk Valley shales (Canajoharie Shale and Snake Hill Formation). Potsdam and Ticonderoga are partly correlative with Danby Formation of Middlebury synclinorium in VT. Beekmantown and part of Chazy correlate directly with limestones and dolomites above Danby. Paleozoic cover sequence is interpreted as a platform sequence. [Text states Beekmantown ""as used by Fisher (1984)"", but this appears to be an error because Fisher (1984) included Potsdam and Ticonderoga in his Beekmantown. Fisher (1977) abandoned Canajoharie but USGS still recognizes it.] (Thompson, 1990). ",NY001,dolostone (dolomite),limestone,sandstone; quartzite,NY002NY037NY038NY046
NY,Cbk,CAbk,CAbk;2,NYCAbk;2,2,Hudson-Mohawk Sheet,Beekmantown Group ,Cambrian,"Beekmantown Group - Mohawk Valley: Little Falls Dolostone-chert; Hoyt Formation-limestone, dolostone, oolite.  Washington county: Whitehall Formation-dolostone, limestone; Ticonderoga Dolostone-chert.",,"part of Beekmantown and Stockbridge Groups, Potsdam Sandstone, and Vermont Valley Sequence up to 3500 ft. (1100 m).Secondary unit descriptions from USGS Lexicon website (Ref. NY046) and references NY037, NY038, NY039, NY040 and NY041. The Beekmantown Group in east-central NY includes the (ascending) Potsdam Sandstone, Ticonderoga Formation, Whitehall Formation, Great Meadows Formation, Fort Ann Formation, and Fort Cassin Formation. The Cambrian-Ordovician boundary is within the Whitehall Formation, and therefore, the Beekmantown Group is of Late Cambrian to Early Ordovician age (Croixian to Canadian). Unit overlies the Lake George Group and underlies the Black River Group (Fisher, 1984).Paleozoic cover sequence adjacent to Adirondack massif in western part of Glens Falls quad consists of (ascending): Late Cambrian Potsdam Sandstone, Late Cambrian Ticonderoga Formation, Late Cambrian and Early Ordovician Beekmantown Group (with Whitehall Formation at base), early Middle Ordovician Chazy Group, Middle Ordovician Black River and Trenton Groups, and Mohawk Valley shales (Canajoharie Shale and Snake Hill Formation). Potsdam and Ticonderoga are partly correlative with Danby Formation of Middlebury synclinorium in VT. Beekmantown and part of Chazy correlate directly with limestones and dolomites above Danby. Paleozoic cover sequence is interpreted as a platform sequence. [Text states Beekmantown ""as used by Fisher (1984)"", but this appears to be an error because Fisher (1984) included Potsdam and Ticonderoga in his Beekmantown. Fisher (1977) abandoned Canajoharie but USGS still recognizes it.] (Thompson, 1990). Little Falls - Unit is well known for its exceptionally clear, doubly terminated quartz crystals, known as ""diamonds"" and for the irregular masses of algal stromatolites, which occur at several levels, particularly in informal unit B. Brachiopods have been reported at several localities, but except for the stromatolites, the unit, for the most part, is unfossiliferous. Lithology is quite varied. Though dolostone is predominant, sandstone and mixed sandstone and dolostone beds are common. The mineralogy of the Little Falls is extremely varied. Unit includes quartz, calcite, dolomite, pyrite, marcasite, galena, sphalerite, limonite, chalcopyrite, hematite, glauconite, and anthraxolite. Inferred age of the quartz crystals is Carboniferous, while deposition of the limestone occurred during the Late Cambrian (Muskatt and Tollerton, 1992). Hoyt - Named the Hoyt limestone member of the Little Falls dolomite for Hoyt's quarry, Saratoga Co., eastern NY. Unit is basal phase of the Little Falls. Consists of blackish, subcrystalline, pure or only slightly magnesian limestone alternating with beds of blue and light gray dolomite; quartz sand grains in some of the beds, increasing in amount below; contains many beds of black oolite, most abundant near the base. Fossils include Cryptozoan, trilobites, gastropods, and LINGULEPIS ACUMINATA at many horizons. Thickness is 80 to 120 feet. Gradationally overlies the Potsdam sandstone and underlies the remainder of the Little Falls dolomite. Unit occurs locally. The Hoyt is of Late Cambrian age (Ulrich and Cushing, 1910).The base of the Whitehall formation is raised to coincide with contact of Little Falls dolomite and Hoyt limestone, and Hoyt is revised as lower member of Whitehall formation. The Hoyt limestone member is about 40 feet thick and underlies the Skene dolomite member (Wheeler, 1942).",NY001,dolostone (dolomite),limestone,chert,NY002NY037NY038NY039NY040NY041NY046
NY,Cc,CAc,CAc;1,NYCAc;1,1,Adirondack Sheet,Cheshire Quartzite,Cambrian,Cheshire Quartzite - In Vermont.,,"part of Beekmantown Group, Potsdam Sandstone, and Vermont Valley Sequence up to 2500 ft. (760 m).",NY001,quartzite,,,NY002
NY,Cc,CAc,CAc;2,NYCAc;2,2,Hudson-Mohawk Sheet,Cheshire Quartzite,Cambrian,Cheshire Quartzite,,"part of Beekmantown and Stockbridge Groups, Potsdam Sandstone, and Vermont Valley Sequence up to 3500 ft. (1100 m)",NY001,quartzite,,,NY002
NY,Cc,CAc,CAc;3,NYCAc;3,3,Lower Hudson Sheet,Cheshire Quartzite,Cambrian,Cheshire Quartzite,,"part of Wappinger and Stockbridge Groups, Poughquag Quartzite, and Metamorphic Equivalents up to 4000 ft. (1200 m).",NY001,quartzite,,,NY002
NY,Ccd,CAcd,CAcd;2,NYCAcd;2,2,Hudson-Mohawk Sheet,Cheshire Quartzite and Dalton Formation,Cambrian,Cheshire Quartzite and Dalton Formation,,"part of Beekmantown and Stockbridge Groups, Potsdam Sandstone, and Vermont Valley Sequence up to 3500 ft. (1100 m)Secondary description of Dalton Formation from USGS Geolex (ref. NY046):Early Cambrian Dalton Formation unconformably overlies Beckett gneiss and grades into overlying Cheshire quartzite; thickness 600-700 ft; basal conglomerate grading into light-colored gneiss or schist. Dalton phyllite of Emerson's unpublished Hawley, MA, map (1892) is revised as Dalton formation. Occurs in western MA from Hinsdale into Washington. Best exposed at site of former Dalton clubhouse, on the high hill south of Dalton Station, in the open pasture farther south, and on the southeast to the new lookout tower. Consists of basal conglomerate grading into light-colored gneiss or schist in which muscovite is sericitized. Conglomerate consists of quartz (black, blue, and white), and some feldspar and gneiss pebbles between 5 and 100 mm long. Thickness ranges from 600 to 700 ft. Grades into overlying Cheshire quartzite; unconformably overlies Becket gneiss. Age is Early Cambrian.",NY001,quartzite,gneiss,schist; conglomerate,NY002NY046
NY,Cev,CAev,CAev;2,NYCAev;2,2,Hudson-Mohawk Sheet,Everett Schist,Cambrian?,Everett Schist - minor meta-graywacke lenses.  Includes Greylock Schist in Massachusetts.,,part of Eugeosynclinal (Allochthonous) Sequence up to 6000 ft.? (2000 m).USGS Geolex (ref. NY046) cites age as Proterozoic Z to Early Cambrian age,NY001,schist,metasedimentary rock,,NY002NY046
NY,Cev,CAev,CAev;3,NYCAev;3,3,Hudson-Mohawk Sheet,Everett Schist,Cambrian?,Everett Schist - locally with minor meta-graywacke lenses.  ,,part of Eugeosynclinal (Allochthonous) Sequence up to 4000 ft.? (1200 m).On printed map unit has a ? in front of Cev.USGS Geolex (ref NY046) cites age as Proterozoic Z to Early Cambrian age,NY001,schist,metasedimentary rock,,NY002NY046
NY,Cg,CAg,CAg;2,NYCAg;2,2,Hudson-Mohawk Sheet,Germantown Formation,Cambrian,"Germantown Formation - south of Troy; shale, conglomerate, limestone.",,part of Eugeosynclinal (Allochthonous) Sequence up to 6000 ft.? (2000 m).,NY001,shale,conglomerate,limestone,NY002
NY,Cg,CAg,CAg;3,NYCAg;3,3,Lower Hudson Sheet,Germantown Formation,Cambrian,"Germantown Formation - shale, limestone, conglomerate.",,part of Eugeosynclinal (Allochthonous) Sequence up to 4000 ft.? (1200 m).,NY001,shale,limestone,conglomerate,NY002
NY,Cgt,CAgt,CAgt;2,NYCAgt;2,2,Hudson-Mohawk Sheet,Greenstones and tuffs and/or basalt,Cambrian?,Greenstones and tuffs and/or basalt,,part of Eugeosynclinal (Allochthonous) Sequence up to 6000 ft.? (2000 m).,NY001,greenstone,tuff,basalt,NY002
NY,Cm,CAm,CAm;1,NYCAm;1,1,Adirondack Sheet,Mettawee Slate,Cambrian?,"Mettawee Slate (Bull in Vermont) - includes Castleton (North Brittain) Conglomerate.  Mudd Pond Quartzite, Zion Hill Quartzite, and Bomoseen Graywacke Members.",,part of Eugeosynclinal (Allochthonous) Sequence up to 3000 ft.? (900 m).Age is given as Late Proterozoic to Early Cambrian (NY046),NY001,slate,quartzite,conglomerate; graywacke,NY002NY046
NY,Cm,CAm,CAm;2,NYCAm;2,2,Hudson-Mohawk Sheet,Mettawee Slate,Cambrian ?,"Mettawee Slate - north of 43 degrees includes Castleton (North Brittain) Conglomerate.  Mudd Pond Quartzite, Zion Hill Quartzite, and Bomoseen Graywacke Members.",,part of Eugeosynclinal (Allochthonous) Sequence up to 6000 ft.? (2000 m).Age is given as Late Proterozoic to Early Cambrian (NY046),NY001,slate,quartzite,conglomerate; graywacke,NY002NY046
NY,Cn,CAn,CAn;2,NYCAn;2,2,Hudson-Mohawk Sheet,Nassau Formation,Cambrian ?,"Nassau Formation - south of 43 degrees; slate, shale, thin quartzite, includes Stuyvesant Conglomerate, Diamond Rock Quartzite, Curtis Mountain Quartzite, and Bomoseen Graywacke Members. ",,part of Eugeosynclinal (Allochthonous) Sequence up to 6000 ft.? (2000 m).Age changed to Late Proterozoic to Learly Cambrian as per USGS Lexicon website (ref. NY046) according to reference NY005.,NY001,shale,quartzite,slate; conglomerate; graywacke,NY002NY005NY046
NY,Cn,CAn,CAn;3,NYCAn;3,3,Lower Hudson Sheet,Nassau Formation,Cambrian ?,"Nassau Formation - shale, quartzite.",,part of Eugeosynclinal (Allochthonous) Sequence up to 4000 ft.? (1200 m).On printed map unit has a ? in front of Cn.Age changed to Late Proterozoic to Early Cambrian as per USGS Lexicon website (ref. NY046) according to reference NY005.,NY001,shale,quartzite,,NY002NY005NY046
NY,Cp,CAp,CAp;1,NYCAp;1,1,Adirondack Sheet,Potsdam Sandstone,Cambrian,Potsdam Sandstone (Covey Hill in Quebec),,"part of Beekmantown Group, Potsdam Sandstone, and Vermont Valley Sequence up to 2500 ft. (760 m).Secondary unit description from USGS Lexicon website (ref. NY046) and reference NY038:Paleozoic cover sequence adjacent to Adirondack massif in western part of Glens Falls quad consists of (ascending): Late Cambrian Potsdam Sandstone, Late Cambrian Ticonderoga Formation, Late Cambrian and Early Ordovician Beekmantown Group (with Whitehall Formation at base), early Middle Ordovician Chazy Group, Middle Ordovician Black River and Trenton Groups, and Mohawk Valley shales (Canajoharie Shale and Snake Hill Formation). Potsdam and Ticonderoga are partly correlative with Danby Formation of Middlebury synclinorium in VT. Beekmantown and part of Chazy correlate directly with limestones and dolomites above Danby. Paleozoic cover sequence is interpreted as a platform sequence. [Text states Beekmantown ""as used by Fisher (1984)"", but this appears to be an error because Fisher (1984) included Potsdam and Ticonderoga in his Beekmantown. Fisher (1977) abandoned Canajoharie but USGS still recognizes it.] (Thompson, 1990).",NY001,sandstone,,,NY002NY038NY046
NY,Cp,CAp,CAp;2,NYCAp;2,2,Hudson-Mohawk Sheet,Potsdam Sandstone,Cambrian,Potsdam Sandstone,,"part of Beekmantown and Stockbridge Groups, Potsdam Sandstone, and Vermont Valley Sequence up to 3500 ft. (1100 m).Secondary unit description from USGS Lexicon website (ref. NY046) and reference NY038:Paleozoic cover sequence adjacent to Adirondack massif in western part of Glens Falls quad consists of (ascending): Late Cambrian Potsdam Sandstone, Late Cambrian Ticonderoga Formation, Late Cambrian and Early Ordovician Beekmantown Group (with Whitehall Formation at base), early Middle Ordovician Chazy Group, Middle Ordovician Black River and Trenton Groups, and Mohawk Valley shales (Canajoharie Shale and Snake Hill Formation). Potsdam and Ticonderoga are partly correlative with Danby Formation of Middlebury synclinorium in VT. Beekmantown and part of Chazy correlate directly with limestones and dolomites above Danby. Paleozoic cover sequence is interpreted as a platform sequence. [Text states Beekmantown ""as used by Fisher (1984)"", but this appears to be an error because Fisher (1984) included Potsdam and Ticonderoga in his Beekmantown. Fisher (1977) abandoned Canajoharie but USGS still recognizes it.] (Thompson, 1990).",NY001,sandstone,,,NY002NY038NY046
NY,Cpg,CApg,CApg;3,NYCApg;3,3,Lower Hudson Sheet,Poughquag Quartzite,Cambrian,Poughquag Quartzite - (includes local Dalton Formation at base)-locally conglomeratic.,,"part of Wappinger and Stockbridge Groups, Poughquag Quartzite, and Metamorphic Equivalents up to 4000 ft. (1200 m).Secondary unit description from USGS Lexicon website (ref. NY046) and reference NY042:Poughquag is shown as basal formation of Wappinger Group, conformably underlying Stissing Dolomite and nonconformably overlying Precambrian basement. The Wappinger is assigned to the Sauk Sequence in this report. Age is Early Cambrian (Sanders, 1995).",NY001,quartzite,conglomerate,,NY002NY042NY046
NY,Cpw,CApw,CApw;1,NYCApw;1,1,Adirondack Sheet,"Poultney Formation (""A"" Member)",Cambrian,"Poultney Formation (""A"" Member) - shale, limestone; Hatch Hill Formation-shale, dolostone; West Castleton Formation-shale, limestone, conglomerate.",,part of Eugeosynclinal (Allochthonous) Sequence up to 3000 ft.? (900 m).,NY001,shale,limestone,dolostone (dolomite); conglomerate,NY002
NY,Cpw,CApw,CApw;2,NYCApw;2,2,Hudson-Mohawk Sheet,"Poultney Formation (""A"" Member)",Cambrian,"Poultney Formation (""A"" Member) - north of Troy: shale, limestone; Hatch Hill Formation-shale, dolostone; West Castleton Formation-shale, limestone, conglomerate.",,part of Eugeosynclinal (Allochthonous) Sequence up to 6000 ft.? (2000 m).,NY001,shale,limestone,dolostone (dolomite); conglomerate,NY002
NY,Cr,CAr,CAr;2,NYCAr;2,2,Hudson-Mohawk Sheet,Rensselaer Graywacke,Cambrian? ,Rensselaer Graywacke - minor shale.,,part of Eugeosynclinal (Allochthonous) Sequence up to 6000 ft.? (2000 m).,NY001,graywacke,shale,,NY002
NY,Cs,CAs,CAs;3,NYCAs;3,3,Lower Hudson Sheet,Stissing Formation,Cambrian,"Stissing Formation - dolostone, shale.",,"part of Wappinger and Stockbridge Groups, Poughquag Quartzite, and Metamorphic Equivalents up to 4000 ft. (1200 m).Age changed to Early Cambrian as per USGS Lexicon website (ref. NY046) according to reference NY008.",NY001,dolostone (dolomite),shale,,NY002NY008NY046
NY,Cth,CAth,CAth;2,NYCAth;2,2,Hudson-Mohawk Sheet,Theresa (Galway) Formation,Cambrian,"Theresa (Galway) Formation - dolostone, sandstone, shale.",,"part of Beekmantown and Stockbridge Groups, Potsdam Sandstone, and Vermont Valley Sequence up to 3500 ft. (1100 m)Secondary unit description from USGS Geologic Names lexicon (ref. NY046): Consists of somewhat calcareous, sandy dolomites with interbedded weak sandstones, especially near base. Thickness is 20 to 70 feet. ",NY001,dolostone (dolomite),sandstone,shale,NY002NY046
NY,Cw,CAw,CAw;2,NYCAw;2,2,Hudson-Mohawk Sheet,Briarcliff Dolostone and Pine Plains Formation,Cambrian,"Briarcliff Dolostone and Pine Plains Formation - Columbia County: Pine Plains-dolostone, oolite, shale.",,"part of Beekmantown and Stockbridge Groups, Potsdam Sandstone, and Vermont Valley Sequence up to 3500 ft. (1100 m)Note that unit has no name on printed map (part of Wappinger Group - inferred from other map sheets). Formation names used here.Age changed to Late Cambrian as per USGS Lexicon website (ref. NY046) according to reference NY007.",NY001,dolostone (dolomite),shale,,NY002NY007NY046
NY,Cw,CAw,CAw;3,NYCAw;3,3,Lower Hudson Sheet,Briarcliff Dolostone and Pine Plains Formation,Cambrian,"Briarcliff Dolostone and Pine Plains Formation - Briarcliff -l ocally cherty; Pines Plains - dolostone, shale, oolite.",,"part of Wappinger and Stockbridge Groups, Poughquag Quartzite, and Metamorphic Equivalents up to 4000 ft. (1200 m).Age changed to Late Cambrian as per USGS Lexicon website (ref. NY046) according to reference NY007.",NY001,dolostone (dolomite),shale,chert,NY002NY007NY046
NY,Cwmd,CAwmd,CAwmd;1,NYCAwmd;1,1,Adirondack Sheet,"Winooski Dolostone, Monkton Quartzite, and Dunham (Rutland) Dolostone",Cambrian,"Winooski Dolostone, Monkton Quartzite, and Dunham (Rutland) Dolostone",,"part of Beekmantown Group, Potsdam Sandstone, and Vermont Valley Sequence up to 2500 ft. (760 m).Secondary unit description from USGS Geologic Names lexicon (ref. NY046): Named the Rutland dolomite for Rutland, Rutland Co., VT. Consists of generally gray dolomite with beds of dark bluish-gray dolomite in lower and upper parts of the formation. Also contains some scattered blue limestones at various horizons. The base contains interbeds of sandstone. Thickness is about 1000 feet. [Monkton Quartzite] Consists of reddish-brown to brick-red, purple, pink, buff, and white quartzite with a few seams and beds of shale, each a few inches thick. White beds are more numerous at top of unit. Thickness is unknown; 300-ft seam is seen in Colchester Twp. Upper contact marked by dolomite, forming a transition to Winooski marble; Winooski marble type locality given as along Winooski River in Burlington, VT, where it was quarried. Consists mainly of red or pink mottled dolomite. Contains interbeds of coarsely crystalline, light-gray dolomite. All dolomite is dense and has conchoidal fracture. Is very resistant to erosion and forms long ledges over hollows and slopes. Base of formation is interbedded with quartzite for about 50 ft, forming a transition to underlying Monkton quartzite (new). Top of formation is marked by red, buff, and purple quartzite layers exhibiting ripple marks, mudcracks, and annelid trails. Top is well exposed at Winooski Falls in Burlington. Although fossils found in this unit were assigned to the Silurian (by James Hall in 1847) and to the Potsdam (by Billings), Walcott (1883) found Lower Cambrian fossils in the pink dolomite.",NY001,dolostone (dolomite),quartzite,limestone,NY002NY046
NY,Cwmd,CAwmd,CAwmd;2,NYCAwmd;2,2,Hudson-Mohawk Sheet,"Winooski Dolostone, Monkton Quartzite, and Dunham (Rutland) Dolostone",Cambrian,"Winooski Dolostone, Monkton Quartzite, and Dunham (Rutland) Dolostone - in Vermont.",,"part of Beekmantown and Stockbridge Groups, Potsdam Sandstone, and Vermont Valley Sequence up to 3500 ft. (1100 m)",NY001,dolostone (dolomite),quartzite,,NY002
NY,Dbg,Dbg,Dbg;3,NYDbg;3,3,Lower Hudson Sheet,Muscovite-biotite granite gneiss,Upper Devonian,Muscovite-biotite granite gneiss,,,NY001,granitic gneiss,,,NY002
